abandon	abandon [ə'bændən] (動) 放棄；拋棄
burglar	burglar ['bɝglɚ] (名) 竊賊；夜間入室盜竊的人　(名) 盜匪；小偷
burglary	burglary ['bɝɡlɚi] (名) 竊盜罪；入室盜竊
burial	burial ['bɝəl] (名) 埋葬；葬禮　(動) 埋葬；掩埋
burn	burn ['bɝn] (動) 燃燒；燒毀　(動) 灼傷；燙傷　(名) 燒傷；灼傷
burning	burning ['bɝnɪŋ] (形) 灼熱的；燃燒的　(動) 燃燒；灼傷
burp	burp ['bɝp] (動) 打嗝；嗝氣　(名) 嗝音；打嗝聲
burr	burr ['bɝ] (名) 毛刺；刺痛的聲音　(動) 發出粗糙聲音；去毛刺
burrow	burrow ['bɝo] (名) 洞穴；地洞　(動) 挖洞；鑽進
burst	burst ['bɝst] (動) 突然破裂；爆炸　(名) 突然的爆發；一陣
bursting	bursting ['bɝstɪŋ] (形) 爆裂的；充滿的　(動) 爆裂；破裂
bury	bury ['bɛri] (動) 埋藏；埋葬　(動) 隱藏；掩蓋
bus	bus [bʌs] (名) 公車；巴士　(動) 用公車運送
bush	bush [bʊʃ] (名) 灌木；灌木叢　(名) 灌木地；荒野
bushmeat	bushmeat ['bʊʃˌmit] (名) 野生動物肉；灌木叢動物肉
bushy	bushy ['bʊʃi] (形) 濃密的；茂密的　(形) 蓬亂的；毛茸茸的
business	business ['bɪznɪs] (名) 商業；生意　(名) 公司；企業
businessman	businessman ['bɪznɛsmæn] (名) 商人；企業家　(名) 生意人；商務人士
bust	bust ['bʌst] (動) 破裂；爆炸　(名) 胸像；半身像
buster	buster ['bʌstɚ] (名) 破壞者；克星　(名) 暢銷商品；大片電影
bustle	bustle ['bʌsl] (動) 忙碌地活動；熱鬧　(名) 熱鬧；繁忙
bustling	bustling ['bʌslɪŋ] (形) 熙攘的；繁忙的　(副) 熙攘地；忙碌地
busy	busy ['bɪzi] (形) 忙碌的；忙著做某事　(動) 使忙碌；占據
but	but [bət] (連) 但是；可是　(介) 除了；只有
butcher	butcher ['bʊtʃɚ] (名) 屠夫；肉販　(動) 宰殺；粗暴對待
butter	butter ['bʌtɚ] (名) 奶油；黃油　(動) 塗奶油；潤滑
butterfly	butterfly ['bʌtɚˌflaɪ] (名) 蝴蝶；蛺蝶
buttery	buttery ['bʌtɚi] (形) 含奶油的；黃油般的　(形) 光滑的；柔軟的
button	button ['bʌtn] (名) 按鈕；按扣　(動) 扣上；按下
buy	buy ['baɪ] (動) 購買；買　(動) 說服；贏得
buzz	buzz ['bʌz] (名) 嗡嗡聲；熱議話題　(動) 發出嗡嗡聲；引起熱烈討論
by-product	by-product ['baɪ ˌprɑdəkt] (名) 副產品；附帶產物
by	by [baɪ] (介) 被；由　(介) 在...旁邊；靠近
bypass	bypass [bæ'pæs] (動) 繞過；迂迴；規避　(名) 旁道；迂迴路線
byte	byte ['baɪt] (名) 位元組；字節
byword	byword ['baɪwɝd] (名) 諺語；俗語　(名) 代表人物；典型例子
cabbage	cabbage ['kæbɪdʒ] (名) 高麗菜；包心菜
cabin	cabin ['kæbɪn] (名) 小屋；船艙
cabinet	cabinet ['kæbənɪt] (名) 內閣；政府部門　(名) 儲藏櫃；櫥櫃
cable	cable ['kɛbəl] (名) 電纜；電線　(名) 船用粗繩
cacti	cacti ['kæktaɪ] (名) 仙人掌（複數）；仙人掌類植物
cactus	cactus ['kæktəs] (名) 仙人掌；沙漠植物
cadaver	cadaver ['kædəvɚ] (名) 屍體；遺體
cafe	cafe ['kæfe] (名) 咖啡館；咖啡廳　(名) 咖啡
cafeteria	cafeteria [kæfə'tɪrɪə] (名) 自助餐廳；食堂
caffeine	caffeine ['kæfəin] (名) 咖啡因；興奮劑
cage	cage ['keɪdʒ] (名) 籠子；鳥籠　(動) 將…關進籠子；限制
cake	cake ['kek] (名) 蛋糕；cake　(動) 結成塊；凝結
caladium	caladium [kə'leɪdiəm] (名) 花燭；彩葉芋
calamity	calamity [kə'læməti] (名) 災難；浩劫　(名) 不幸的事件
calcium	calcium ['kælʃəm] (名) 鈣；鈣質
calculate	calculate ['kælkjəlèt] (動) 計算；推算　(動) 估計；判斷
calculated	calculated ['kælkjəˌletɪd] (形) 計畫好的；預謀的　(形) 精心設計的；有意的
calculating	calculating ['kælkjəletɪŋ] (形) 精於計算的；狡猾的；有目的的
calculation	calculation ['kælkjəleʃən] (名) 計算；計算結果　(名) 估計；推測
calculator	calculator ['kælkjəletɚ] (名) 計算機；計算器
calendar	calendar ['kælɚndɚ] (名) 日曆；月曆　(名) 行事曆；日程表
calf	calf ['kæf] (名) 小牛；腓腸肌
caliber	caliber ['kælɪbɚ] (名) 口徑；能力　(名) 素質；水準
calibrate	calibrate ['kælɪˌbret] (動) 校準；調整
call	call [kɔl] (動) 叫喊；呼喚　(動) 打電話；致電　(名) 呼喊；電話
calligraphy	calligraphy [藝術性的] (名) 書法； 筆跡
callous	callous ['kæləs] (形) 冷漠的；無情的　(形) 麻木的；不敏感的
callus	callus ['kæləs] (名) 老繭；硬皮　(動) 形成老繭
calm	calm ['kɑm] (形) 平靜的；冷靜的　(動) 使平靜；使冷靜
calmly	calmly ['kɑmlɪ] (副) 平靜地；沉著地
calorie	calorie ['kælərɪ] (名) 卡路里；熱量
camaraderie	camaraderie [ˌkæmə'rɑdəri] (名) 同志的友誼；戰友情誼　(名) 親密的友好關係；同伴精神
camel	camel ['kæml] (名) 駱駝；駱駝型的人或物
camera	camera ['kæmɚə] (名) 相機；攝影機
camouflage	camouflage ['kæməflɑʒ] (名) 偽裝；迷彩　(動) 偽裝；隱藏
camp	camp [kæmp] (名) 營地；夏令營　(動) 露營；紮營　(形) 誇張的；刻意做作的
campaign	campaign ['kæmpən] (名) 活動；運動　(動) 參加活動；宣傳
campaigner	campaigner ['kæmpenjɚ] (名) 運動倡導者；宣傳者
camping	camping ['kæmpɪŋ] (名) 露營；野營　(動) 露營；在戶外紮營
campus	campus ['kæmpəs] (名) 校園；校區
campy	campy ['kæmpi] (形) 誇張做作的；刻意營造戲劇效果的
can’t-miss	can’t-miss [kænt 'mɪs] (形) 不可錯過的；必看的
can	can [kæn] (動) 能夠；可以　(助動) 可能；能
Canada	Canada ['kænədə] (名) 加拿大（北美洲國家）
Canadian	Canadian ['kænədiən] (形) 加拿大的；加拿大人的　(名) 加拿大人
canal	canal ['kænəl] (名) 運河；水道　(動) 引導；疏導
cancel	cancel ['kænsl] (動) 取消；廢除　(動) 抵消；互相抵銷
cancellation	cancellation [͵kænsə'leʃən] (名) 取消；廢止　(名) 抵銷；相互抵消
cancer	cancer ['kænsɚ] (名) 癌症；癌　(名) 巨蟹座
candid	candid ['kændɪd] (形) 坦白的；率直的　(形) 真實的；未經修飾的
candidate	candidate ['kændɪdɛt] (名) 候選人；應徵者　(名) 考生；申請人
candle	candle ['kændəl] (名) 蠟燭；燭光
candy	candy ['kændɪ] (名) 糖果；甜蜜的東西　(動) 糖漬；蜜餞
cane	cane [ken] (名) 手杖；拐杖　(動) 用手杖支撑；打
canine	canine ['kenɪn] (形) 犬的；狗的　(名) 犬科動物；狗
cannibal	cannibal ['kænəbəl] (名) 食人族；食人者　(形) 食人的；同類相食的
cannon	cannon ['kænən] (名) 大砲；砲　(動) 用砲轟擊；砲擊
canoe	canoe ['kænuː] (名) 獨木舟；輕舟
canonize	canonize ['kænənaɪz] (動) 封為聖人；推崇為偉人
canteen	canteen [kæn'tin] (名) 餐廳；食堂　(名) 水壺；水瓶
cantilever	cantilever ['kæntəlɪvɚ] (名) 懸臂；懸臂梁　(動) 用懸臂支撐
canvas	canvas ['kænvəs] (名) 帆布；畫布　(動) 徵求意見；遊說
canyon	canyon ['kænən] (名) 峽谷；險峽
cap	cap [kæp] (名) 帽子；蓋子　(動) 蓋住；限制
capability	capability [kə'pæbɪləti] (名) 能力；能耐　(名) 才能；本領
capable	capable ['kepəbl] (形) 有能力的；勝任的　(形) 能夠做某事的；有才能的
capacious	capacious [kə'peʃəs] (形) 寬敞的；容量大的；廣闊的
capacitor	capacitor [kə'pæsɪtɚ] (名) 電容器；蓄電器
capacity	capacity ['kæpəsəti] (名) 容量；能力　(名) 職位；身分
cape	cape ['kep] (名) 海角；岬角　(名) 斗篷；披肩
capital	capital ['kæpɪtəl] (名) 首都；資本　(形) 主要的；大寫的
capitalism	capitalism ['kæpɪtəlɪzəm] (名) 資本主義；資本制度
capitalist	capitalist ['kæpɪtəlɪst] (名) 資本家；從事資本主義的人
capitivity	capitivity [kə'pɪvətɪ] (名) 囚禁；被關押　(名) 被監禁的狀態；束縛
caplet	caplet ['kæplɪt] (名) 小型膠囊錠劑；藥片
capricious	capricious [kə'prɪʃəs] (形) 善變的；任意的　(形) 反覆無常的；難以預測的
capsule	capsule ['kæpsəl] (名) 膠囊；太空艙　(動) 把...裝入膠囊
captain	captain ['kæptən] (名) 船長；隊長　(動) 擔任…的隊長；領導
caption	caption ['kæpʃən] (名) 標題；字幕　(動) 為…加標題；加字幕
captivate	captivate [kæp'tɪveɪt] (動) 吸引；迷住　(動) 俘虜；逮捕
captivating	captivating ['kæptɪˌvetɪŋ] (形) 迷人的；吸引人的　(動) 吸引；迷住
captive	captive ['kæptɪv] (形) 被囚禁的；被俘虜的　(名) 俘虜；囚犯
captivity	captivity ['kæptɪvətɪ] (名) 囚禁；被捕　(名) 被圈養的狀態；失去自由
capture	capture ['kæptʃɚ] (動) 捕捉；抓住　(動) 拍攝；記錄　(名) 俘虜；捕獲
car	car [kɑr] (名) 汽車；車子
carabiner	carabiner [ˌkɛrə'binɚ] (名) 鉤環；快速扣
caramel	caramel ['kɛrəmɛl] (名) 焦糖；太妃糖　(形) 焦糖色的；淡褐色的
caravan	caravan ['kærəvæn] (名) 旅行隊；車隊　(名) 露營車；活動住宅
carb	carb ['kɑrb] (名) 碳水化合物；澱粉類食物
carbohydrate	carbohydrate [kɑrbə'haɪdret] (名) 碳水化合物；醣類
carbon	carbon ['kɑrbən] (名) 碳；碳元素　(形) 含碳的；碳質的
card	card [kɑrd] (名) 卡片；卡　(動) 出示證件；刷卡
cardboard	cardboard ['kɑrdˌbɔrd] (名) 硬紙板；紙板　(形) 硬紙板製的；平板的
cardholder	cardholder ['kɑrdholdɚ] (名) 持卡人；信用卡持有人
cardinal	cardinal ['kɑrdənəl] (形) 最重要的；基本的　(名) 樞機主教；紅衣主教
cardiologist	cardiologist [͵kɑrdi'ɑlədʒɪst] (名) 心臟病醫生；心臟科醫生
cardiovascular	cardiovascular [ˌkɑrdio'væskjələr] (形) 心臟和血管的；心血管的
care	care ['kɛr] (動) 關心；照顧　(名) 關心；照顧
careen	careen [kə'rin] (動) 傾斜；搖晃　(動) 急速移動；衝向
career	career ['kɛrɪr] (名) 職業；生涯　(動) 快速移動；疾馳
carefree	carefree ['kɛrfri] (形) 無憂無慮的；輕鬆自在的
careful	careful ['kɛrfl] (形) 仔細的；小心的　(副) 仔細地；小心地
carefully	carefully ['kɛrfəli] (副) 仔細地；小心地
carefulness	carefulness ['kɛrfəlnəs] (名) 謹慎；小心　(名) 注意力；細心
careless	careless ['kɛrləs] (形) 粗心的；不小心的　(形) 不關心的；漠不關心的
caress	caress [kə'rɛs] (動) 輕撫；愛撫　(名) 撫摸；溫柔的接觸
caretaker	caretaker ['kɛrˌtekɚ] (名) 照顧者；管理員　(名) 臨時代理人；代理負責人
cargo	cargo ['kɑrgo] (名) 貨物；貨運　(名) 船貨；運送的物品
caricature	caricature ['kɛrɪkətʃɚ] (名) 誇張漫畫；漫畫像　(動) 畫…的誇張漫畫；諷刺描寫
caring	caring ['kɛrɪŋ] (形) 關心的；照顧的　(動) 關心；照顧
carmaker	carmaker ['kɑrˌmekɚ] (名) 汽車製造商；汽車製造廠
carnation	carnation ['kɑrneʃən] (名) 康乃馨；肉色花
carnival	carnival ['kɑrnɪvəl] (名) 嘉年華；狂歡節　(名) 遊樂園；娛樂活動
carnivore	carnivore ['kɑrnɪˌvor] (名) 肉食動物；食肉者
carnivorous	carnivorous [kɑr'nɪvərəs] (形) 肉食的；食肉的
carol	carol ['kærəl] (名) 聖誕歌曲；讚美詩　(動) 唱聖誕歌曲；歡樂地唱歌
carotenoid	carotenoid [kærə'tɛnɔɪd] (名) 類胡蘿蔔素；胡蘿蔔素
carousel	carousel ['kærəsɛl] (名) 旋轉木馬；圓形轉盤
carp	carp ['kɑrp] (名) 鯉魚　(動) 抱怨；嘮叨
carpenter	carpenter ['kɑrpɪntɚ] (名) 木匠；木工
carpet	carpet ['kɑrpɪt] (名) 地毯；地板覆蓋物　(動) 用地毯覆蓋
carpeting	carpeting ['kɑrpɪtɪŋ] (名) 地毯鋪設；地毯材料　(動) 鋪地毯；用地毯覆蓋
carriage	carriage ['kærɪdʒ] (名) 馬車；車廂　(名) 運送；運輸
carrier	carrier ['kæriɚ] (名) 運輸者；載體　(名) 航空公司；運輸公司
carrot	carrot ['kærət] (名) 胡蘿蔔；紅蘿蔔
carry-on	carry-on ['kæri ɔn] (名) 隨身行李；手提行李　(形) 隨身的；可帶上飛機的　(動) 繼續進行；堅持下去
carry	carry ['kæri] (動) 攜帶；運送　(動) 承載；支持
cart	cart ['kɑrt] (名) 購物車；手推車　(動) 運送；推動
cartel	cartel ['kɑrtəl] (名) 卡特爾；企業聯合；壟斷組織
carton	carton ['kɑrtn] (名) 紙箱；紙盒　(名) 牛奶盒；飲料盒
cartoon	cartoon ['kɑrtuˌn] (名) 卡通；動畫　(名) 漫畫；卡通畫
carve	carve ['kɑrv] (動) 雕刻；刻畫　(動) 切割；分割
cascade	cascade ['kæskeid] (動) 傾瀉；級聯　(名) 瀑布；層疊
case	case [kes] (名) 情況；案件　(名) 外殼；容器　(名) 病例；患者
cash	cash ['kæʃ] (名) 現金；現款　(動) 兌現；支取現金
cashier	cashier [kæ'ʃɪr] (名) 收銀員；出納員
casing	casing ['kesɪŋ] (名) 外殼；套管　(動) 用套管包裝；勘察
casino	casino ['kæzɪno] (名) 賭場；娛樂場
casket	casket ['kæskət] (名) 棺材；靈柩　(名) 小箱子；寶盒
cassette	cassette [kə'sɛt] (名) 錄音帶；卡帶
cast	cast [kæst] (動) 投擲；拋　(動) 選舉；投票　(名) 演員陣容；角色安排
castanets	castanets [kæs'tænɛts] (名) 響板；響木棒
caste	caste ['kæst] (名) 種姓制度；社會階級　(名) 演員陣容；投擲
castle	castle ['kæsəl] (名) 城堡；堡壘
casual	casual ['kæʒuəl] (形) 隨意的；不正式的　(形) 偶然的；無計畫的
casually	casually ['kæʒuəli] (副) 隨意地；不正式地　漫不經心地；輕率地
casualty	casualty ['kæʒuəlti] (名) 傷亡者；傷亡　(名) 損失；受害者
catalog	catalog ['kætəlɔg] (名) 目錄；商品目錄　(動) 編目；分類記錄
catalyst	catalyst ['kætləst] (名) 催化劑；促進因素
catapult	catapult ['kætəpʌlt] (名) 彈射裝置；投石機　(動) 突然彈射；迅速推進
cataract	cataract ['kætərækt] (名) 白內障；瀑布
catastrophe	catastrophe [kə'tæstrəfi] (名) 大災難；災難　(名) 慘敗；失敗
catastrophic	catastrophic [kætə'strɔfɪk] (形) 災難性的；毀滅性的　(形) 極為嚴重的；致命的
catch	catch ['kætʃ] (動) 抓住；捕捉　(動) 趕上；趕得及　(名) 捕獲物；收穫
catcher	catcher ['kætʃɚ] (名) 捕手；接球者　(名) 捕捉器；陷阱
catchy	catchy ['kætʃi] (形) 容易記住的；朗朗上口的　(形) 吸引人的；迷人的
cate	cate ['ket] (名) 食物；餐點
categorize	categorize ['kætəgɚaɪz] (動) 分類；歸類　(動) 把…列入某一類別
category	category ['kætəgorɪ] (名) 類別；範疇　(名) 種類；部門
cater	cater ['ketɚ] (動) 提供飲食；滿足需求
caterer	caterer ['kætərɚ] (名) 承包食物服務者；餐飲承包商
catering	catering ['kætɚɪŋ] (名) 餐飲服務；外燴　(動) 提供餐飲服務
caterpillar	caterpillar ['kætɚpɪlɚ] (名) 毛毛蟲；蝴蝶幼蟲
cathedral	cathedral ['kæθɪdrəl] (名) 大教堂；主教座堂　(形) 主要的；中心的
cathode	cathode ['kæθoʊd] (名) 陰極；負極
catholicism	catholicism [kæθə'lɪsɪzəm] (名) 天主教；天主教信仰
cattle	cattle ['kætəl] (名) 牛；牲畜　(名) 牲口；家畜
cauldron	cauldron ['kɔldrən] (名) 大鍋；坩堝
causal	causal ['kɔzəl] (形) 因果關係的；原因的　(形) 由原因引起的；相關的
causative	causative ['kɔzətɪv] (形) 引起的；導致的　(名) 使役動詞
cause	cause [kɔz] (動) 引起；導致　(名) 原因；事業
caustic	caustic ['kɔstɪk] (形) 刻薄的；尖酸刻薄的　(形) 腐蝕性的；有腐蝕力的
caution	caution ['kɔʃən] (名) 小心；謹慎　(動) 警告；勸阻
cautious	cautious ['kɔʃəs] (形) 謹慎的；小心的　(形) 留意的；警覺的
cautiously	cautiously ['kɔʃəsli] (副) 謹慎地；小心地
cavalier	cavalier ['kævəlɪr] (形) 輕率的；不在乎的　(名) 騎士；貴族
cavalry	cavalry ['kævəlri] (名) 騎兵；騎兵隊
cave	cave ['kev] (名) 洞穴；山洞　(動) 塌陷；凹陷
caveat	caveat ['kævɪˌæt] (名) 警告；附帶條件　(動) 附加警告；提出保留意見
caviar	caviar ['kævɪˌɑr] (名) 魚子醬；鹹魚卵
cavity	cavity ['kævɪtɪ] (名) 蛀洞；齲齒　(名) 空洞；凹陷
cease	cease ['sis] (動) 停止；終止　(名) 停止；終結
ceasefire	ceasefire ['sisˌfaɪɚ] (名) 停火；休戰
ceaseless	ceaseless ['siːsləs] (形) 不斷的；無止境的　(形) 持續不停的；永無休止的
ceiling	ceiling ['silɪŋ] (名) 天花板；上限
celebrate	celebrate ['sɛləbret] (動) 慶祝；歡慶　(動) 舉行典禮
celebrated	celebrated ['sɛləˌbretəd] (形) 著名的；有名的　(動) 慶祝；表揚
celebration	celebration ['sɛləˌbreʃən] (名) 慶祝；慶祝活動　(名) 歡樂；狂歡
celebratory	celebratory ['sɛləˌbrɛtɚi] (形) 慶祝的；歡樂的　(副) 以慶祝的方式；歡樂地
celebrity	celebrity ['sɛləbrəti] (名) 名人；名星　(名) 名聲；名望
celery	celery ['sɛləri] (名) 芹菜；薪資
celestial	celestial ['sɛləstʃəl] (形) 天空的；天體的　(形) 極其美妙的；夢幻般的
cell	cell [sɛl] (名) 細胞；房間　(名) 電池；監獄單人房
cellar	cellar ['sɛlɚ] (名) 地下室；酒窖
cello	cello ['tʃɛlo] (名) 大提琴；提琴
cellphone	cellphone ['sɛl foʊn] (名) 手機；行動電話
Celsius	Celsius ['sɛlʃəs] (名) 攝氏溫度；攝氏度數
cement	cement ['sɛmɛnt] (名) 水泥；黏合劑　(動) 黏合；鞏固
cemetery	cemetery ['sɛmətɛri] (名) 墓地；公墓
censor	censor ['sɛnsɚ] (動) 審查；刪除　(名) 審查員；檢查官
censorship	censorship ['sɛnsɚˌʃɪp] (名) 審查制度；言論審查　(動) 審查；檢查
censure	censure ['sɛnʃɚ] (動) 譴責；批評　(名) 譴責；指責
census	census ['sɛnsəs] (名) 人口普查；調查　(動) 進行普查
cent	cent ['sɛnt] (名) 分；分幣　(名) 百分之一；百分比單位
centenary	centenary [sɛn'tɛnɛri] (名) 百年紀念；百週年　(形) 百年的；百週年的
centennial	centennial [sɛn'tɛniəl] (形) 百年一次的；一百週年的　(名) 百年紀念；百週年慶典
center	center ['sɛntɚ] (名) 中心；中央　(動) 把…放在中心；集中
centered	centered ['sɛntɚd] (形) 以...為中心的；集中的　(動) 集中；將...置於中心
